,pred_rnn_a,pred_rnn_b,pred_rnn_c,pred_cnn_a,pred_cnn_b,pred_cnn_c,pred_as01_a,pred_as01_b,pred_as01_c,pred_as02_a,pred_as02_b,pred_as02_c,pred_lstm_a,pred_adaptive_mixture,pred_baseline,pred_gradcam_large,pred_gradcam_small,pred_gradcam_large_euclidian,pred_gradcam_small_euclidian,pred_large_adaptive_hoeffding,pred_large_adaptive_periodic
SNP500,0.0863840579986572,0.0898776054382324,0.1044437885284423,0.0359325408935546,0.0399582386016845,0.0489354133605957,0.0831203460693359,0.0925900936126709,0.1107382774353027,0.0526232719421386,0.0534899234771728,0.0544421672821044,0.0387213230133056,0.1210691928863525,0.5044765472412109,2.4613797664642334,0.6935477256774902,2.6694986820220947,0.6934902667999268,16.844404458999634,27.90698432922364
NASDAQ,0.2376725673675537,0.2599380016326904,0.3023848533630371,0.1028666496276855,0.1158018112182617,0.1411151885986328,0.2386884689331054,0.2677383422851562,0.3201429843902588,0.1510035991668701,0.1538093090057373,0.1560101509094238,0.1109020709991455,0.3472323417663574,1.7875213623046875,8.774850368499756,2.3983492851257324,10.257423877716064,2.685293912887573,9.224799633026125,88.20895028114319
DJI,0.2396419048309326,0.258723497390747,0.2994384765625,0.1028549671173095,0.1150598526000976,0.1408543586730957,0.2387366294860839,0.2725274562835693,0.3197486400604248,0.150785207748413,0.1536018848419189,0.1554608345031738,0.1110069751739502,0.3457999229431152,1.9065794944763184,7.842252969741821,2.04532527923584,10.478374719619753,2.8532443046569824,8.269168376922607,87.64148902893066
NYSE,0.2396085262298584,0.2600538730621338,0.3022246360778808,0.103348970413208,0.1161785125732421,0.1411542892456054,0.2413151264190673,0.2688040733337402,0.3201336860656738,0.1558461189270019,0.1556756496429443,0.1570773124694824,0.1114320755004882,0.3493199348449707,2.1101009845733643,7.930511474609375,2.056149482727051,9.74310827255249,2.686931610107422,8.321888208389282,87.9255359172821
RUSSELL,0.2385437488555908,0.2608366012573242,0.3016493320465088,0.1035237312316894,0.1157681941986084,0.1408619880676269,0.2407989501953125,0.2690298557281494,0.3214781284332275,0.1523284912109375,0.15478515625,0.156217336654663,0.1117153167724609,0.3495807647705078,1.878293514251709,7.934040784835815,2.172877788543701,8.958597898483276,2.269603490829468,8.507665872573853,88.12868571281433
Energy_RH1,0.1795508861541748,0.1958718299865722,0.2284722328186035,0.0777676105499267,0.0873713493347168,0.1080818176269531,0.1810104846954345,0.2020480632781982,0.2428247928619384,0.1145966053009033,0.1161468029022216,0.1179819107055664,0.0844357013702392,0.2634077072143554,1.4806952476501465,6.4644615650177,1.7227253913879397,7.0028932094573975,1.8300788402557373,19.073610305786133,60.73576092720032
Energy_RH2,0.1821699142456054,0.1967895030975341,0.2283952236175537,0.0780093669891357,0.0874698162078857,0.1061675548553466,0.1822125911712646,0.2024939060211181,0.2415549755096435,0.1145524978637695,0.116851806640625,0.1180129051208496,0.0842702388763427,0.2618498802185058,1.28792142868042,6.865559577941895,1.7911231517791748,7.204411268234253,1.93866229057312,19.43397545814514,61.09689331054688
Energy_T4,0.1800508499145507,0.1959068775177002,0.2276721000671386,0.077613353729248,0.0873579978942871,0.1058950424194336,0.1799025535583496,0.2019424438476562,0.2399914264678955,0.113654613494873,0.1165518760681152,0.1178643703460693,0.0836019515991211,0.2619309425354004,1.2222058773040771,6.364142656326294,1.67974591255188,6.740896463394165,1.8428270816802976,167.42744135856628,60.20848083496094
Energy_T5,0.180168867111206,0.1965584754943847,0.2272951602935791,0.0778019428253173,0.0874335765838623,0.1060197353363037,0.1797642707824707,0.2014672756195068,0.241490364074707,0.1133651733398437,0.1168968677520752,0.118074893951416,0.0835852622985839,0.2598567008972168,1.451266527175903,6.973951816558838,1.8241500854492188,7.15835976600647,1.8104171752929688,54.89690923690796,60.40501022338867
CloudCoverage,0.3234753608703613,0.3515143394470215,0.4079194068908691,0.1394314765930175,0.1572554111480713,0.1906943321228027,0.3279099464416504,0.3669512271881103,0.5084328651428223,0.2055168151855468,0.2102608680725097,0.2122454643249511,0.1514651775360107,0.4737234115600586,2.924797773361206,12.553629636764526,3.325377941131592,13.704302549362184,3.5655405521392822,13.25798511505127,109.78365588188171
