,method,dataset,inverted_relu,roc_only_best,percentage_empty_rocs,MSE
145,OS-PGSM-St,pedestrian_counts_4,True,True,0.9393939393939394,1.2038843631744385
146,OS-PGSM-Int,pedestrian_counts_4,False,True,0.9090909090909091,1.1314606666564941
147,OS-PGSM-St,pedestrian_counts_4,False,True,0.9393939393939394,1.1036732196807861
148,OS-PGSM-Int,pedestrian_counts_4,True,False,0.0,1.1919317245483398
149,OS-PGSM-St,pedestrian_counts_4,True,False,0.0,1.6264104843139648
150,OS-PGSM-Int,pedestrian_counts_4,False,False,0.030303030303030304,6.432497501373291
151,OS-PGSM-St,pedestrian_counts_4,False,False,0.0,3.32769513130188
152,OS-PGSM-Int,kdd_cup_2018_0,True,True,0.9393939393939394,0.6340157985687256
153,OS-PGSM-St,kdd_cup_2018_0,True,True,0.9090909090909091,0.6351799368858337
154,OS-PGSM-Int,kdd_cup_2018_0,False,True,0.9696969696969697,0.5264212489128113
155,OS-PGSM-St,kdd_cup_2018_0,False,True,0.9090909090909091,0.6129701733589172
156,OS-PGSM-Int,kdd_cup_2018_0,True,False,0.06060606060606061,1.4982414245605469
157,OS-PGSM-St,kdd_cup_2018_0,True,False,0.0,1.1138659715652466
158,OS-PGSM-Int,kdd_cup_2018_0,False,False,0.030303030303030304,1.2224236726760864
159,OS-PGSM-St,kdd_cup_2018_0,False,False,0.0,1.1946234703063965
160,OS-PGSM-Int,kdd_cup_2018_1,True,True,0.8787878787878788,1.2623095512390137
161,OS-PGSM-St,kdd_cup_2018_1,True,True,0.9393939393939394,0.8820152282714844
162,OS-PGSM-Int,kdd_cup_2018_1,False,True,0.9393939393939394,1.2408859729766846
163,OS-PGSM-St,kdd_cup_2018_1,False,True,0.9393939393939394,0.9040949940681458
164,OS-PGSM-Int,kdd_cup_2018_1,True,False,0.06060606060606061,0.8371570706367493
165,OS-PGSM-St,kdd_cup_2018_1,True,False,0.0,1.410784363746643
166,OS-PGSM-Int,kdd_cup_2018_1,False,False,0.06060606060606061,1.0281838178634644
167,OS-PGSM-St,kdd_cup_2018_1,False,False,0.0,2.840733766555786
168,OS-PGSM-Int,kdd_cup_2018_2,True,True,0.9393939393939394,0.7780903577804565
169,OS-PGSM-St,kdd_cup_2018_2,True,True,0.9393939393939394,0.7826603651046753
170,OS-PGSM-Int,kdd_cup_2018_2,False,True,0.9393939393939394,0.7576797604560852
171,OS-PGSM-St,kdd_cup_2018_2,False,True,0.9393939393939394,1.1016392707824707
172,OS-PGSM-Int,kdd_cup_2018_2,True,False,0.030303030303030304,5.1727447509765625
173,OS-PGSM-St,kdd_cup_2018_2,True,False,0.0,1.2961760759353638
174,OS-PGSM-Int,kdd_cup_2018_2,False,False,0.030303030303030304,1.7648650407791138
175,OS-PGSM-St,kdd_cup_2018_2,False,False,0.0,5.599452495574951
176,OS-PGSM-Int,kdd_cup_2018_3,True,True,0.8787878787878788,1.5926393270492554
177,OS-PGSM-St,kdd_cup_2018_3,True,True,0.9393939393939394,0.8493258357048035
178,OS-PGSM-Int,kdd_cup_2018_3,False,True,0.9090909090909091,1.5017800331115723
179,OS-PGSM-St,kdd_cup_2018_3,False,True,0.9393939393939394,0.8768211007118225
180,OS-PGSM-Int,kdd_cup_2018_3,True,False,0.030303030303030304,1.2706018686294556
181,OS-PGSM-St,kdd_cup_2018_3,True,False,0.0,1.1330993175506592
182,OS-PGSM-Int,kdd_cup_2018_3,False,False,0.09090909090909091,0.9380427002906799
183,OS-PGSM-St,kdd_cup_2018_3,False,False,0.030303030303030304,1.289214015007019
184,OS-PGSM-Int,kdd_cup_2018_4,True,True,0.9090909090909091,0.38139206171035767
185,OS-PGSM-St,kdd_cup_2018_4,True,True,0.8787878787878788,0.16734828054904938
186,OS-PGSM-Int,kdd_cup_2018_4,False,True,0.9393939393939394,0.21329252421855927
187,OS-PGSM-St,kdd_cup_2018_4,False,True,0.8787878787878788,0.2085956335067749
188,OS-PGSM-Int,kdd_cup_2018_4,True,False,0.030303030303030304,0.4360434412956238
189,OS-PGSM-St,kdd_cup_2018_4,True,False,0.0,0.5937426686286926
190,OS-PGSM-Int,kdd_cup_2018_4,False,False,0.06060606060606061,1.4155223369598389
191,OS-PGSM-St,kdd_cup_2018_4,False,False,0.0,1.2549039125442505
