DATE,HOUR.MST,CLOUDCOVER
5/13/2017,1,-1
5/13/2017,2,-1
5/13/2017,3,-1
5/13/2017,4,-1
5/13/2017,5,-1
5/13/2017,6,14.6
5/13/2017,7,16.9167
5/13/2017,8,10.5333
5/13/2017,9,11.4333
5/13/2017,10,9.35
5/13/2017,11,8.35
5/13/2017,12,36.1667
5/13/2017,13,57.4667
5/13/2017,14,55.75
5/13/2017,15,44.8833
5/13/2017,16,28.4
5/13/2017,17,54.5
5/13/2017,18,21.6833
5/13/2017,19,10.9833
5/13/2017,20,-1
5/13/2017,21,-1
5/13/2017,22,-1
5/13/2017,23,-1
5/14/2017,0,-1
5/14/2017,1,-1
5/14/2017,2,-1
5/14/2017,3,-1
5/14/2017,4,-1
5/14/2017,5,-1
5/14/2017,6,6.5167
5/14/2017,7,9.75
5/14/2017,8,11.3667
5/14/2017,9,13.7833
5/14/2017,10,10.3
5/14/2017,11,8.7833
5/14/2017,12,9.05
5/14/2017,13,9.2
5/14/2017,14,12.7
5/14/2017,15,73.6833
5/14/2017,16,98.1333
5/14/2017,17,96.9667
5/14/2017,18,94.5667
5/14/2017,19,63.0667
5/14/2017,20,-1
5/14/2017,21,-1
5/14/2017,22,-1
5/14/2017,23,-1
5/15/2017,0,-1
5/15/2017,1,-1
5/15/2017,2,-1
5/15/2017,3,-1
5/15/2017,4,-1
5/15/2017,5,-1
5/15/2017,6,30.55
5/15/2017,7,84.2
5/15/2017,8,93.4833
5/15/2017,9,92.1333
5/15/2017,10,44.95
5/15/2017,11,9.7167
5/15/2017,12,10.5667
5/15/2017,13,19.0833
5/15/2017,14,64.8167
5/15/2017,15,89.8167
5/15/2017,16,98.6333
5/15/2017,17,93.3667
5/15/2017,18,77.2
5/15/2017,19,43.5667
5/15/2017,20,-1
5/15/2017,21,-1
5/15/2017,22,-1
5/15/2017,23,-1
5/16/2017,0,-1
5/16/2017,1,-1
5/16/2017,2,-1
5/16/2017,3,-1
5/16/2017,4,-1
5/16/2017,5,-1
5/16/2017,6,6.3167
5/16/2017,7,9.3
5/16/2017,8,11.3
5/16/2017,9,12.8333
5/16/2017,10,12.1167
5/16/2017,11,12.9
5/16/2017,12,79.4
5/16/2017,13,87.1167
5/16/2017,14,96.0667
5/16/2017,15,98.1167
5/16/2017,16,97.3167
5/16/2017,17,96.4
5/16/2017,18,96.45
5/16/2017,19,71.8833
5/16/2017,20,-1
5/16/2017,21,-1
5/16/2017,22,-1
5/16/2017,23,-1
5/17/2017,0,-1
5/17/2017,1,-1
5/17/2017,2,-1
5/17/2017,3,-1
5/17/2017,4,-1
5/17/2017,5,-1
5/17/2017,6,42
5/17/2017,7,96.2667
5/17/2017,8,97.0333
5/17/2017,9,90.7833
5/17/2017,10,76.8667
5/17/2017,11,46.9333
5/17/2017,12,38.4667
5/17/2017,13,78.7333
5/17/2017,14,92.7333
5/17/2017,15,99.1833
5/17/2017,16,91.45
5/17/2017,17,97.3333
5/17/2017,18,93.2167
5/17/2017,19,50.9
5/17/2017,20,-1
5/17/2017,21,-1
5/17/2017,22,-1
5/17/2017,23,-1
5/18/2017,0,-1
5/18/2017,1,-1
5/18/2017,2,-1
5/18/2017,3,-1
5/18/2017,4,-1
5/18/2017,5,-1
5/18/2017,6,57.5167
5/18/2017,7,91.3667
5/18/2017,8,95.6167
5/18/2017,9,97.15
5/18/2017,10,92.9
5/18/2017,11,89.3333
5/18/2017,12,94.6167
5/18/2017,13,90.5333
5/18/2017,14,91.4333
5/18/2017,15,97.9333
5/18/2017,16,96.55
5/18/2017,17,94.4667
5/18/2017,18,86.9667
5/18/2017,19,33.8833
5/18/2017,20,-1
5/18/2017,21,-1
5/18/2017,22,-1
5/18/2017,23,-1
5/19/2017,0,-1
5/19/2017,1,-1
5/19/2017,2,-1
5/19/2017,3,-1
5/19/2017,4,-1
5/19/2017,5,-1
5/19/2017,6,44.9167
5/19/2017,7,62.4833
5/19/2017,8,95.5833
5/19/2017,9,97.2
5/19/2017,10,97.7333
5/19/2017,11,93.9167
5/19/2017,12,95.8
5/19/2017,13,96.2
5/19/2017,14,94.2
5/19/2017,15,97.5667
5/19/2017,16,97.3833
5/19/2017,17,96.4667
5/19/2017,18,94.45
5/19/2017,19,56.95
5/19/2017,20,-1
5/19/2017,21,-1
5/19/2017,22,-1
5/19/2017,23,-1
5/20/2017,0,-1
5/20/2017,1,-1
5/20/2017,2,-1
